,City,nVenues,Population,GDPpc(USD),Success,Best Venue,Latitude,Longitude
0,Beijing,1001,21542000,20407,6.827010254742812,Fast Food Restaurant,40.02473392500001,116.39424034280776
1,Guangzhou,671,14904400,24230,8.82719377168156,Fast Food Restaurant,23.151470055,113.3551424715996
2,Chengdu,570,7112045,13805,1.4360325166393229,Japanese Restaurant,30.706318226470568,103.94444314239982
3,Shenzhen,562,10358381,32351,10.0,Asian Restaurant,22.575214399999997,114.07563788333334
4,Chongqing,381,6263790,9164,1.0,Japanese Restaurant,29.82876878124999,107.25894375553685
5,Xiamen,347,3119110,17009,1.0450505235037184,Hotpot Restaurant,24.58750978333333,118.10281743073067
6,Qingdao,255,3990942,20452,4.421966749236097,Hotpot Restaurant,36.27048320000001,120.30279627603392
7,Shenyang,202,5718232,11204,4.3628808265088015,Italian Restaurant,41.92616052307692,123.3099144
8,Hefei,194,3098727,12143,1.8744934834488463,Japanese Restaurant,31.924322499999995,117.27146834285713
9,Dalian,193,3902467,16643,4.753861364109081,Restaurant,39.21679404444444,121.97315057777779
10,Fuzhou,178,2824414,14899,2.731893640626852,BBQ Joint,26.753055602083347,118.00815000251094
