Name,Province,Urban Population
Shanghai,Shanghai,26317104
Beijing,Beijing,21542000
Guangzhou,Guangdong,14904400
Shenzhen,Guangdong,10358381
Tianjin,Tianjin,9583277
Wuhan,Hubei,7541527
Dongguan,Guangdong,7271322
Chengdu,Sichuan,7112045
Foshan,Guangdong,6771895
Chongqing,Chongqing,6263790
Nanjing,Jiangsu,5827888
Shenyang,Liaoning,5718232
Hangzhou,Zhejiang,5578288
Xi'an,Shaanxi,5206253
Harbin,Heilongjiang,4596313
Suzhou,Jiangsu,4083923
Qingdao,Shandong,3990942
Dalian,Liaoning,3902467
Zhengzhou,Henan,3677032
Shantou,Guangdong,3644017
Jinan,Shandong,3527566
Changchun,Jilin,3411209
Kunming,Yunnan,3278777
Changsha,Hunan,3193354
Taiyuan,Shanxi,3154157
Xiamen,Fujian,3119110
Hefei,Anhui,3098727
Shijiazhuang,Hebei,3095219
Ürümqi,Xinjiang,2853398
Fuzhou,Fujian,2824414
Wuxi,Jiangsu,2757736
Zhongshan,Guangdong,2740994
Wenzhou,Zhejiang,2686825
Nanning,Guangxi,2660833
Nanchang,Jiangxi,2614380
Ningbo,Zhejiang,2583073
Guiyang,Guizhou,2520061
Lanzhou,Gansu,2438595
Zibo,Shandong,2261717
Changzhou,Jiangsu,2257376
Xuzhou,Jiangsu,2214795
Tangshan,Hebei,2128191
Baotou,Inner Mongolia,1900373
Huizhou,Guangdong,1807858
Yantai,Shandong,1797861
Shaoxing,Zhejiang,1725726
Liuzhou,Guangxi,1624571
Nantong,Jiangsu,1612385
Luoyang,Henan,1584463
Yangzhou,Jiangsu,1584237
